Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,827.60","11,827.95","11,768.85","11,785.45","-46.30","-0.39","1,068.48","4,585.15","12,103.05","10,004.55","9.41","0.65"
"UPL","876.00","909.70","875.55","907.45","37.20","4.27","35.00","314.65","1,043.75","537.25","39.13","-9.24"
"COALINDIA","260.00","265.35","259.60","263.65","3.30","1.27","13.88","36.54","299.75","211.40","-2.57","11.15"
"WIPRO","287.00","290.00","286.40","290.00","3.05","1.06","15.21","43.92","301.60","190.65","11.67","1.08"
"TECHM","729.00","736.00","726.50","733.20","7.65","1.05","8.04","58.76","846.50","612.40","6.18","-5.15"
"HINDALCO","193.90","196.50","193.15","195.90","1.60","0.82","11.95","23.35","259.75","182.20","-13.40","-0.05"
"BRITANNIA","2,835.00","2,853.30","2,805.00","2,853.25","19.20","0.68","0.64","18.07","3,467.18","2,615.85","-52.41","0.16"
"HEROMOTOCO","2,659.95","2,682.20","2,632.15","2,681.80","16.10","0.60","1.14","30.46","3,690.00","2,475.00","-26.64","0.93"
"SBIN","344.80","348.00","343.15","347.00","1.85","0.54","61.17","211.86","364.00","247.40","26.97","2.80"
"TITAN","1,306.00","1,317.00","1,304.50","1,312.50","5.90","0.45","7.18","94.16","1,317.00","732.30","47.75","5.47"
"VEDL","171.95","173.75","170.95","172.75","0.75","0.44","23.55","40.64","246.90","145.80","-24.46","4.41"
"ADANIPORTS","402.15","407.65","397.65","402.45","1.25","0.31","11.06","44.56","430.60","292.10","10.06","3.83"
"GRASIM","896.05","913.80","894.40","903.40","2.60","0.29","3.89","35.28","1,093.00","689.10","-11.20","4.37"
"BAJFINANCE","3,597.10","3,599.00","3,570.00","3,591.95","9.40","0.26","2.67","95.69","3,599.00","1,912.20","58.39","4.62"
"ULTRACEMCO","4,576.00","4,607.30","4,556.00","4,586.40","10.35","0.23","0.82","37.57","4,904.95","3,260.45","25.61","-1.15"
"INDUSINDBK","1,445.00","1,449.00","1,419.15","1,438.75","3.15","0.22","13.21","189.68","2,038.00","1,333.15","-26.87","-0.62"
"NTPC","134.85","135.20","134.25","134.85","0.30","0.22","9.13","12.31","146.17","106.67","-14.14","4.86"
"POWERGRID","201.20","202.05","200.35","201.30","0.35","0.17","9.23","18.61","205.00","172.50","1.08","9.43"
"HCLTECH","1,092.50","1,092.65","1,085.70","1,088.35","1.00","0.09","1.87","20.39","1,187.60","899.10","19.47","3.05"
"BAJAJFINSV","8,382.00","8,429.80","8,363.50","8,423.85","6.00","0.07","0.32","27.28","8,474.00","4,955.00","41.64","2.91"
"EICHERMOT","19,790.00","19,850.00","19,700.00","19,804.05","10.90","0.06","0.11","22.02","30,190.00","18,205.00","-33.56","-5.25"
"ONGC","171.75","172.95","171.00","171.80","-0.20","-0.12","10.76","18.50","185.40","127.60","5.56","-1.69"
"GAIL","313.00","313.90","309.00","310.75","-0.40","-0.13","12.10","37.67","399.40","295.25","-9.40","-8.25"
"HINDUNILVR","1,810.00","1,812.00","1,793.80","1,802.25","-2.80","-0.16","1.39","25.04","1,869.50","1,477.20","12.47","0.95"
"LT","1,560.00","1,569.95","1,550.10","1,554.05","-3.05","-0.20","6.63","103.43","1,607.00","1,182.50","18.92","7.24"
"CIPLA","549.85","552.40","546.45","549.55","-1.75","-0.32","1.90","10.45","678.45","483.75","-8.84","-1.75"
"HDFCBANK","2,426.00","2,429.70","2,413.00","2,418.25","-8.10","-0.33","9.50","229.79","2,470.00","1,885.00","17.61","0.61"
"ASIANPAINT","1,379.95","1,393.95","1,372.00","1,387.05","-5.00","-0.36","2.22","30.76","1,529.85","1,118.00","9.10","2.16"
"M&M","627.00","629.65","622.25","624.55","-2.60","-0.41","4.95","30.96","993.00","597.20","-30.94","-2.28"
"ICICIBANK","434.20","435.20","431.30","431.55","-1.85","-0.43","39.31","170.29","439.20","256.50","47.19","7.85"
"TCS","2,285.00","2,292.50","2,263.45","2,267.95","-10.00","-0.44","4.66","106.01","2,292.50","1,784.35","24.45","7.50"
"INFY","755.00","755.00","748.40","751.05","-3.85","-0.51","7.36","55.22","773.00","599.85","-39.58","5.89"
"BHARTIARTL","347.50","349.90","344.60","346.65","-1.90","-0.55","18.81","65.39","366.95","253.99","-6.79","4.84"
"ZEEL","349.10","350.50","343.70","349.60","-2.10","-0.60","22.90","79.52","575.00","288.30","-37.67","0.55"
"KOTAKBANK","1,516.00","1,516.00","1,500.00","1,507.80","-10.55","-0.69","2.04","30.67","1,555.90","1,002.20","13.83","1.34"
"BAJAJ-AUTO","2,894.90","2,894.90","2,863.70","2,877.00","-20.30","-0.70","0.70","20.01","3,194.95","2,420.00","0.26","-3.43"
"RELIANCE","1,295.95","1,296.00","1,285.10","1,287.00","-9.75","-0.75","11.68","150.64","1,417.50","940.30","26.27","-3.94"
"DRREDDY","2,560.00","2,575.00","2,542.00","2,545.45","-19.35","-0.75","1.07","27.24","2,964.00","1,872.95","7.51","-4.56"
"AXISBANK","774.75","774.75","762.80","765.60","-5.80","-0.75","20.11","154.15","827.75","498.75","47.49","-0.95"
